,Accession,HieVi_l0,HieVi_l1,HieVi_l2,HieVi_l3
15428,MW824373,2673,1034,436,342
15429,MW824374,2730,1514,436,342
15430,MW824375,4972,468,444,742
15431,MW824376,5224,1032,968,742
15432,MW824377,-1,926,595,742
15433,MW824378,2673,1034,436,342
15434,MW824379,2673,1034,436,342
15435,MW824380,2531,1035,970,745
15436,MW824381,2531,1035,970,745
15437,MW824382,2531,1035,970,745
15438,MW824383,-1,-1,436,342
15439,MW824384,1816,1038,973,748
15440,MW824385,1816,1038,973,748
15441,MW824386,1815,1038,973,748
15442,MW824387,1647,1036,971,746
15443,MW824388,1446,1037,972,747
15444,MW824389,1446,1037,972,747
15445,MW824390,1794,-1,-1,343
15446,MW824391,1795,1040,975,750
15447,MW824392,1447,1037,972,747
15448,MW824393,1447,1037,972,747
15449,MW824394,1447,1037,972,747
15450,MW824395,1815,1038,973,748
15451,MW824396,1815,1038,973,748
15452,MW824397,1815,1038,973,748
15453,MW824398,1447,1037,972,747
15454,MW824399,1447,1037,972,747
15455,MW824400,3878,1039,974,749
15456,MW824401,1795,1040,975,750
15457,MW824402,1446,1037,972,747
15458,MW824403,1446,1037,972,747
15459,MW824404,1647,1036,971,746
15460,MW824405,1447,1037,972,747
15461,MW824406,1080,-1,-1,329
15462,MW824407,2397,1050,1358,1049
15463,MW824408,2397,1050,1358,1049
15464,MW824409,2397,1050,1358,1049
15465,MW824410,1993,1041,976,751
15466,MW824411,1993,1041,976,751
15467,MW824412,2675,1042,977,339
15468,MW824413,2675,1042,977,339
15469,MW824414,1992,1044,979,752
15470,MW824415,5055,1043,978,742
15471,MW824416,5055,1043,978,742
15472,MW824417,3878,1039,974,749
15473,MW824418,-1,-1,447,349
15474,MW824419,5055,1043,978,742
15475,MW824420,1992,1044,979,752
15476,MW824421,3878,1039,974,749
15477,MW824422,5055,1043,978,742
15478,MW824423,5055,1043,978,742
15479,MW824424,5055,1043,978,742
15480,MW824425,5055,1043,978,742
15481,MW824426,5055,1043,978,742
15482,MW824427,1992,1044,979,752
15483,MW824428,1992,1044,979,752
15484,MW824429,1992,1044,979,752
15485,MW824430,-1,-1,-1,349
15486,MW824431,-1,-1,-1,749
15487,MW824432,3274,-1,1359,349
15488,MW824433,-1,-1,447,349
15489,MW824434,-1,448,447,349
15490,MW825358,4706,1387,23,571
15491,MW831865,2896,1502,1372,901
15492,MW835180,1952,311,293,242
15493,MW845758,4786,289,274,571
15494,MW845759,4766,289,274,571
15495,MW845760,4747,268,274,571
15496,MW846279,3137,749,1164,202
15497,MW862109,2000,-1,-1,1061
15498,MW862804,-1,1362,1256,973
15499,MW862979,4716,306,289,239
15500,MW862980,-1,900,843,645
15501,MW862981,-1,-1,-1,560
15502,MW862982,3164,1436,244,207
15503,MW862983,4420,555,525,1015
15504,MW862984,4470,306,289,239
15505,MW862985,4696,306,289,239
15506,MW862986,3599,-1,-1,529
15507,MW862987,2264,828,774,592
15508,MW862988,3548,830,776,594
15509,MW862989,5247,491,463,360
15510,MW862990,4717,306,289,239
15511,MW862991,2255,1180,1096,663
15512,MW862992,4478,1045,980,208
15513,MW862993,5420,900,843,645
15514,MW864250,661,1046,981,1046
15515,MW864251,678,1047,1353,1046
15516,MW864252,-1,1145,1066,310
15517,MW865291,-1,-1,-1,-1
15518,MW865292,2740,1048,982,753
15519,MW865293,-1,-1,-1,-1
15520,MW865297,2385,1049,983,1049
15521,MW865299,2398,1050,1358,1049
15522,MW865302,2385,1049,983,1049
15523,MW865307,2398,1050,1358,1049
15524,MW865319,-1,-1,-1,-1
15525,MW865327,-1,-1,-1,-1
15526,MW865341,-1,-1,-1,-1
15527,MW876471,2809,1066,1064,1031
15528,MW879340,4747,268,274,571
15529,MW879341,-1,-1,-1,571
15530,MW879342,5131,387,708,742
15531,MW879343,-1,387,708,742
15532,MW879344,-1,387,708,742
15533,MW882907,-1,633,595,742
15534,MW882933,2874,1051,984,665
15535,MW882934,5194,88,84,742
15536,MW883059,-1,633,595,742
15537,MW883060,2725,1080,1339,1031
15538,MW883061,-1,849,794,742
15539,MW900438,-1,-1,-1,-1
15540,MW911612,5229,1032,968,742
15541,MW911613,5228,1032,968,742
15542,MW911614,5228,1032,968,742
15543,MW911615,5229,1032,968,742
15544,MW916539,1971,1281,1185,918
15545,MW924497,2912,1153,406,202
15546,MW924638,-1,1269,1174,208
15547,MW924639,-1,192,179,162
15548,MW924640,3733,1677,498,397
15549,MW924641,4447,1251,1157,208
15550,MW924642,749,970,905,693
15551,MW924643,4583,1098,1314,1015
15552,MW924644,4609,122,117,645
15553,MW924645,4399,605,565,559
15554,MW924646,4405,1098,1314,1015
15555,MW924647,3683,527,498,397
15556,MW924648,4292,755,706,454
15557,MW924649,4913,491,463,360
15558,MW924650,4292,755,706,454
15559,MW924889,2852,250,237,202
15560,MW926912,-1,347,326,268
15561,MW927511,2178,1054,986,754
15562,MW927512,2186,1052,985,754
15563,MW927513,2239,558,528,754
15564,MW927514,2240,1053,986,754
15565,MW927515,2240,1053,986,754
15566,MW927516,2219,1053,986,754
15567,MW927517,2178,1054,986,754
15568,MW927518,2186,1052,985,754
15569,MW927519,2206,553,523,754
15570,MW927520,2240,1053,986,754
15571,MW927521,2205,556,526,754
15572,MW927522,2150,485,460,754
15573,MW927523,2219,1053,986,754
15574,MW927524,2205,556,526,754
15575,MW927525,2239,558,528,754
15576,MW929175,2746,427,402,320
15577,MW929182,-1,214,203,742
15578,MW934263,1768,1699,1563,1226
15579,MW960029,132,864,807,619
15580,MW960030,4391,957,817,626
15581,MW960031,2473,-1,-1,-1
15582,MW960032,1769,-1,-1,946
15583,MW960033,-1,-1,-1,-1
15584,MW960034,-1,-1,-1,624
15585,MW960035,123,-1,-1,-1
15586,MW960036,3402,1055,987,622
15587,MW960037,-1,-1,-1,-1
15588,MW960038,3402,1055,987,622
15589,MW960043,2869,1678,1545,901
15590,MW965453,2716,-1,-1,-1
15591,MW978786,3389,1682,1549,813
15592,MW980061,-1,-1,-1,-1
15593,MW980062,2581,139,130,121
15594,MW980063,4620,870,813,779
15595,MW980064,4620,870,813,779
15596,MW980065,-1,869,812,624
15597,MW980066,3429,867,810,622
15598,MW980067,-1,864,807,619
15599,MW980068,2008,872,815,625
15600,MW980069,3032,863,806,618
15601,MW980070,1773,-1,-1,755
15602,MW980071,3428,867,810,622
15603,MW980072,3428,867,810,622
15604,MW980073,3240,865,808,620
15605,MW980074,2597,869,812,624
15606,MZ004649,3333,1445,1324,668
15607,MZ005670,3391,1259,1166,643
15608,MZ005671,4580,1253,1159,396
15609,MZ005672,3880,192,179,162
15610,MZ005673,-1,966,901,1015
15611,MZ005674,4273,306,289,239
15612,MZ005675,2265,828,774,592
15613,MZ005676,758,970,905,693
15614,MZ005677,-1,1249,1155,895
15615,MZ005678,738,970,905,693
15616,MZ005679,3947,829,775,593
15617,MZ005680,4427,756,707,559
15618,MZ005681,-1,898,841,643
15619,MZ005682,3715,1101,1029,785
15620,MZ005683,2284,828,774,592
15621,MZ005684,-1,898,841,643
15622,MZ005685,4308,1433,1314,1015
15623,MZ020222,-1,1224,1135,874
15624,MZ028625,4033,563,532,1015
15625,MZ028626,5189,631,593,208
15626,MZ028627,4094,-1,-1,765
15627,MZ028628,723,970,905,693
15628,MZ031013,3059,1429,1312,1013
15629,MZ041098,3150,1159,1164,202
15630,MZ042490,5100,791,738,742
15631,MZ043613,5027,1092,1022,742
15632,MZ043897,-1,-1,-1,-1
15633,MZ047271,-1,-1,-1,-1
15634,MZ065353,-1,633,595,742
15635,MZ073369,-1,-1,-1,-1
15636,MZ078141,2321,-1,-1,654
15637,MZ079855,-1,-1,595,742
15638,MZ089728,2050,-1,191,526
15639,MZ089729,-1,1313,1214,938
15640,MZ089730,-1,1313,1214,938
15641,MZ089731,2747,483,457,320
15642,MZ089732,-1,1679,1546,1217
15643,MZ089733,3237,1679,1546,1217
15644,MZ089734,-1,1470,1347,1040
15645,MZ089736,-1,1313,1214,938
15646,MZ089737,2380,1056,988,756
15647,MZ089738,3237,1679,1546,1217
15648,MZ089739,-1,1679,1546,1217
15649,MZ089740,3237,1679,1546,1217
15650,MZ089741,-1,-1,1347,1040
15651,MZ089742,3237,1679,1546,1217
15652,MZ089747,100,1057,989,757
15653,MZ089748,100,1057,989,757
15654,MZ089749,839,-1,-1,-1
15655,MZ089750,-1,-1,-1,-1
15656,MZ089751,-1,-1,-1,-1
15657,MZ089752,-1,-1,-1,-1
15658,MZ089753,659,-1,-1,-1
15659,MZ089754,-1,-1,-1,-1
15660,MZ089755,864,-1,-1,-1
15661,MZ089756,-1,-1,-1,-1
15662,MZ089757,386,-1,-1,-1
15663,MZ089758,-1,-1,-1,-1
15664,MZ089759,865,-1,-1,-1
15665,MZ089760,-1,-1,-1,-1
15666,MZ089761,-1,-1,-1,-1
15667,MZ089762,-1,-1,-1,-1
15668,MZ089763,-1,-1,-1,-1
15669,MZ089764,-1,-1,-1,-1
15670,MZ089765,1357,-1,-1,-1
15671,MZ089766,-1,-1,-1,-1
15672,MZ089767,376,-1,-1,-1
15673,MZ089768,-1,-1,-1,-1
15674,MZ089769,70,-1,-1,-1
15675,MZ089770,166,1058,990,758
15676,MZ089771,-1,-1,-1,-1
15677,MZ089772,166,1058,990,758
15678,MZ089773,-1,-1,-1,-1
15679,MZ089774,-1,-1,-1,-1
15680,MZ089775,1358,-1,-1,-1
15681,MZ089776,767,-1,-1,-1
15682,MZ089777,-1,-1,-1,-1
15683,MZ089778,-1,-1,-1,-1
15684,MZ089779,69,-1,-1,-1
15685,MZ089780,751,-1,-1,-1
15686,MZ089781,-1,-1,-1,-1
15687,MZ089782,-1,-1,-1,-1
15688,MZ089783,639,-1,-1,-1
15689,MZ089784,-1,-1,-1,-1
15690,MZ089785,557,-1,-1,-1
15691,MZ089786,807,-1,-1,-1
15692,MZ089787,33,-1,-1,-1
15693,MZ089788,33,-1,-1,-1
15694,MZ089789,-1,-1,-1,-1
15695,MZ089790,-1,-1,-1,-1
15696,MZ089791,807,-1,-1,-1
15697,MZ089792,32,-1,-1,-1
15698,MZ089793,-1,-1,-1,-1
15699,MZ089794,32,-1,-1,-1
15700,MZ089795,369,-1,-1,-1
15701,MZ089796,632,1059,991,759
15702,MZ089797,632,1059,991,759
15703,MZ089798,619,-1,-1,-1
15704,MZ089799,619,-1,-1,-1
15705,MZ089800,-1,-1,-1,-1
15706,MZ089801,517,-1,-1,-1
15707,MZ089802,-1,-1,-1,-1
15708,MZ089803,636,-1,-1,-1
15709,MZ089804,-1,-1,-1,-1
15710,MZ089805,-1,-1,-1,-1
15711,MZ089806,-1,-1,-1,-1
15712,MZ089807,-1,-1,-1,-1
15713,MZ089808,-1,-1,-1,-1
15714,MZ089809,-1,-1,-1,-1
15715,MZ089810,-1,-1,-1,-1
15716,MZ089811,-1,-1,-1,-1
15717,MZ089978,597,-1,-1,-1
15718,MZ089979,-1,-1,-1,-1
15719,MZ090946,2742,418,394,199
15720,MZ092003,1468,-1,-1,-1
15721,MZ099557,-1,347,326,268
15722,MZ099574,-1,-1,-1,-1
15723,MZ127825,2786,882,825,632
15724,MZ127829,-1,-1,-1,-1
15725,MZ147816,4877,359,386,310
15726,MZ150757,5480,633,595,742
15727,MZ150758,-1,848,793,742
15728,MZ150782,3354,820,766,585
15729,MZ150783,4445,1250,1156,896
15730,MZ150784,3558,1060,992,760
15731,MZ150785,4128,761,711,454
15732,MZ150786,4304,1061,993,645
15733,MZ150787,3412,1394,1282,643
15734,MZ150788,4210,625,586,454
15735,MZ150789,-1,-1,-1,-1
15736,MZ150790,534,1062,994,761
15737,MZ150791,4401,756,707,559
15738,MZ150792,-1,1217,1128,869
15739,MZ150793,3549,830,776,594
15740,MZ152914,3460,1398,1285,992
15741,MZ152915,-1,1312,1213,937
15742,MZ156567,-1,1364,873,668
15743,MZ156568,3832,1364,873,668
15744,MZ156569,3832,1364,873,668
15745,MZ156570,-1,1676,1543,742
15746,MZ170040,-1,633,595,742
15747,MZ170041,5600,633,595,742
15748,MZ171369,-1,-1,-1,-1
15749,MZ171370,2258,828,774,592
15750,MZ171371,-1,625,586,454
15751,MZ171372,4615,568,539,396
15752,MZ171373,4283,829,775,593
15753,MZ171374,4316,755,706,454
15754,MZ171375,-1,122,117,645
15755,MZ171376,-1,1433,1314,1015
15756,MZ171377,3933,422,398,318
15757,MZ171378,-1,491,463,360
15758,MZ171379,3497,898,841,643
15759,MZ171380,-1,966,901,1015
15760,MZ171381,4439,122,117,645
15761,MZ172460,-1,1449,1327,807
15762,MZ182246,1931,426,401,931
15763,MZ182247,-1,1224,1135,874
15764,MZ188970,-1,-1,-1,-1
15765,MZ188976,-1,-1,-1,-1
15766,MZ189261,5620,633,595,742
15767,MZ189262,5624,633,595,742
15768,MZ208805,-1,-1,-1,784
15769,MZ209299,-1,491,463,360
15770,MZ209300,2067,816,762,592
15771,MZ209301,2264,828,774,592
15772,MZ209302,3807,1063,995,762
15773,MZ209303,2263,256,242,592
15774,MZ209304,731,919,905,693
15775,MZ209305,-1,1098,1314,1015
15776,MZ209306,4142,596,559,587
15777,MZ209307,2057,816,762,592
15778,MZ218124,2331,-1,996,763
15779,MZ220765,2554,-1,-1,22
15780,MZ220766,2524,-1,253,1031
15781,MZ221764,-1,1449,1327,807
15782,MZ223858,2758,1066,1064,1031
15783,MZ229661,-1,417,393,258
15784,MZ230992,-1,1064,997,764
15785,MZ230993,351,1064,997,764
15786,MZ230994,351,1064,997,764
15787,MZ230995,351,1064,997,764
15788,MZ230996,350,1064,997,764
15789,MZ230997,350,1064,997,764
15790,MZ230998,350,1064,997,764
15791,MZ230999,350,1064,997,764
15792,MZ231000,350,1064,997,764
15793,MZ231001,-1,1064,997,764
15794,MZ234008,3746,1362,1256,973
15795,MZ234009,2946,1066,1064,1031
15796,MZ234010,3310,1065,873,668
15797,MZ234011,-1,1066,1064,1031
15798,MZ234012,3126,1429,1312,1013
15799,MZ234013,-1,633,595,742
15800,MZ234014,3746,1362,1256,973
15801,MZ234015,4868,214,203,742
15802,MZ234016,3746,1362,1256,973
15803,MZ234017,4868,214,203,742
15804,MZ234018,5644,633,595,742
15805,MZ234019,3069,1429,1312,1013
15806,MZ234020,3069,1429,1312,1013
15807,MZ234021,-1,1066,1064,1031
15808,MZ234022,2989,1066,1064,1031
15809,MZ234023,2989,1066,1064,1031
15810,MZ234024,2946,1066,1064,1031
15811,MZ234025,-1,633,595,742
15812,MZ234026,3746,1362,1256,973
15813,MZ234027,5681,633,595,742
15814,MZ234028,4993,214,203,742
15815,MZ234029,-1,1362,1256,973
15816,MZ234030,-1,633,595,742
15817,MZ234031,5659,633,595,742
15818,MZ234032,3069,1429,1312,1013
15819,MZ234033,3719,1136,1059,807
15820,MZ234034,5682,633,595,742
15821,MZ234035,5659,633,595,742
15822,MZ234036,5682,633,595,742
15823,MZ234037,5682,633,595,742
15824,MZ234038,5659,633,595,742
15825,MZ234039,5681,633,595,742
15826,MZ234040,5681,633,595,742
15827,MZ234041,5678,633,595,742
15828,MZ234042,5678,633,595,742
15829,MZ234043,5677,633,595,742
15830,MZ234044,2990,1066,1064,1031
15831,MZ234045,2990,1066,1064,1031
15832,MZ234046,2990,1066,1064,1031
15833,MZ234047,2990,1066,1064,1031
15834,MZ234048,3437,936,873,668
15835,MZ234049,3030,1429,1312,1013
15836,MZ234050,3030,1429,1312,1013
15837,MZ234051,5678,633,595,742
15838,MZ234052,5678,633,595,742
15839,MZ234053,5677,633,595,742
15840,MZ272341,1931,426,401,931
15841,MZ274225,-1,1364,873,668
15842,MZ274304,-1,755,706,454
15843,MZ274305,4516,888,831,593
15844,MZ274306,-1,491,463,360
15845,MZ274307,727,970,905,693
15846,MZ274308,3558,1060,992,760
15847,MZ274309,2297,256,242,592
15848,MZ274310,-1,-1,-1,-1
15849,MZ285878,5024,1313,1214,938
15850,MZ285879,-1,-1,-1,141
15851,MZ286294,1156,-1,-1,-1
15852,MZ291552,-1,633,595,742
15853,MZ292654,5381,1032,968,742
15854,MZ308445,-1,-1,-1,-1
15855,MZ311861,2946,1066,1064,1031
15856,MZ311862,2823,1066,1064,1031
15857,MZ311863,-1,848,793,742
15858,MZ311864,5166,88,84,742
15859,MZ311865,5620,633,595,742
15860,MZ318361,2898,1080,1339,1031
15861,MZ318362,2898,1080,1339,1031
15862,MZ318363,2898,1080,1339,1031
15863,MZ318367,3380,1303,1221,775
15864,MZ322004,4732,555,525,1015
15865,MZ322005,-1,715,161,1015
15866,MZ322006,799,970,905,693
15867,MZ322007,4309,1433,1314,1015
15868,MZ322008,771,970,905,693
15869,MZ322009,4323,271,1160,559
15870,MZ322010,3563,111,107,96
15871,MZ322011,4663,1269,1174,208
15872,MZ322012,3682,1677,498,397
15873,MZ322013,3508,830,776,594
15874,MZ322014,771,970,905,693
15875,MZ322015,4399,605,565,559
15876,MZ322016,4155,302,287,239
15877,MZ322017,-1,966,901,1015
15878,MZ322018,4523,1269,1174,208
15879,MZ322019,4497,1098,1314,1015
15880,MZ322020,4345,1254,1160,559
15881,MZ322021,4094,1067,998,765
15882,MZ322022,3546,111,107,96
15883,MZ322023,4356,966,901,1015
15884,MZ322024,-1,888,831,593
15885,MZ322025,-1,966,901,1015
15886,MZ322026,4461,1217,1128,869
15887,MZ322027,723,970,905,693
15888,MZ322028,4129,1068,999,454
15889,MZ322319,1445,1169,1086,827
15890,MZ322895,5551,633,595,742
15891,MZ326168,-1,88,84,742
15892,MZ326854,2902,1069,1000,901
15893,MZ326855,2651,1070,1001,865
15894,MZ326856,3483,1071,1002,258
15895,MZ326857,3483,1071,1002,258
15896,MZ326858,2901,1069,1000,901
15897,MZ326859,3838,1012,803,614
15898,MZ326860,3711,-1,-1,-1
15899,MZ326861,-1,-1,-1,258
15900,MZ326862,4372,432,407,323
15901,MZ326863,-1,-1,-1,-1
15902,MZ326864,1466,-1,-1,-1
15903,MZ326865,1895,426,401,931
15904,MZ326866,1408,1252,1158,899
15905,MZ326867,-1,-1,-1,-1
15906,MZ326868,5084,791,738,742
15907,MZ327261,-1,848,793,742
15908,MZ327262,-1,848,793,742
15909,MZ333131,2564,-1,-1,-1
15910,MZ333132,-1,-1,-1,807
15911,MZ333133,-1,-1,-1,-1
15912,MZ333134,608,-1,-1,-1
15913,MZ333135,2580,-1,-1,-1
15914,MZ333136,608,-1,-1,-1
15915,MZ333456,-1,-1,-1,-1
15916,MZ333457,3255,1183,1098,841
15917,MZ333458,2006,-1,-1,-1
15918,MZ333461,1903,426,401,931
15919,MZ333462,4886,359,386,310
15920,MZ334492,903,1072,1003,766
15921,MZ334493,903,1072,1003,766
15922,MZ334494,904,1072,1003,766
15923,MZ334495,904,1072,1003,766
15924,MZ334496,905,1072,1003,766
15925,MZ334497,905,1072,1003,766
15926,MZ334498,905,1072,1003,766
15927,MZ334499,905,1072,1003,766
15928,MZ334500,905,1072,1003,766
15929,MZ334501,-1,1072,1003,766
15930,MZ334502,920,1072,1003,766
15931,MZ334503,920,1072,1003,766
15932,MZ334504,920,1072,1003,766
15933,MZ334505,-1,1072,1003,766
15934,MZ334506,-1,1072,1003,766
15935,MZ334507,921,1072,1003,766
15936,MZ334508,921,1072,1003,766
15937,MZ334509,905,1072,1003,766
15938,MZ334510,-1,1072,1003,766
15939,MZ334511,-1,1072,1003,766
15940,MZ334512,910,1072,1003,766
15941,MZ334513,-1,1072,1003,766
15942,MZ334514,910,1072,1003,766
15943,MZ334515,909,1072,1003,766
15944,MZ334516,909,1072,1003,766
15945,MZ334517,-1,1073,1004,767
15946,MZ334518,895,1073,1004,767
15947,MZ334519,896,1073,1004,767
15948,MZ334520,896,1073,1004,767
15949,MZ334521,-1,-1,-1,-1
15950,MZ334522,-1,-1,-1,-1
15951,MZ334523,869,148,136,768
15952,MZ334524,870,1074,1005,768
15953,MZ334525,-1,-1,-1,-1
15954,MZ334526,691,-1,-1,-1
15955,MZ334527,859,-1,-1,-1
15956,MZ334528,-1,-1,-1,-1
15957,MZ336020,2504,395,370,295
15958,MZ342906,4869,214,203,742
15959,MZ343158,4148,194,182,360
15960,MZ345003,1488,890,834,637
15961,MZ348421,-1,333,312,258
15962,MZ348422,-1,793,740,571
15963,MZ348423,5466,633,595,742
15964,MZ348424,5425,633,595,742
15965,MZ348425,2005,191,178,161
15966,MZ348426,5172,857,801,742
15967,MZ355721,4388,306,289,239
15968,MZ355722,4646,555,525,1015
15969,MZ355723,4054,966,901,1015
15970,MZ355724,-1,1400,510,404
15971,MZ355725,-1,966,901,1015
15972,MZ355726,-1,555,525,1015
15973,MZ355727,-1,-1,-1,643
15974,MZ355728,4583,1098,1314,1015
15975,MZ357096,-1,-1,-1,-1
15976,MZ358387,-1,-1,408,258
15977,MZ359091,-1,-1,-1,1046
15978,MZ359670,3055,1462,1339,1031
15979,MZ361825,2340,1075,1006,769
15980,MZ361826,2340,1075,1006,769
15981,MZ361827,2340,1075,1006,769
15982,MZ364222,1327,1076,1007,770
15983,MZ364223,1327,1076,1007,770
15984,MZ364224,67,1077,1008,771
15985,MZ364225,67,1077,1008,771
15986,MZ364226,463,-1,-1,-1
15987,MZ364227,96,-1,-1,-1
15988,MZ364228,-1,-1,-1,-1
15989,MZ364229,1329,1078,1009,772
15990,MZ364230,644,-1,-1,-1
15991,MZ364231,74,-1,-1,-1
15992,MZ364232,1302,-1,-1,-1
15993,MZ364233,911,-1,-1,-1
15994,MZ364234,-1,-1,-1,-1
15995,MZ364235,73,-1,-1,-1
15996,MZ364236,67,-1,-1,-1
15997,MZ364237,-1,-1,-1,-1
15998,MZ364238,40,-1,-1,-1
15999,MZ364239,73,-1,-1,-1
16000,MZ364240,-1,-1,-1,-1
16001,MZ364241,1385,-1,-1,-1
16002,MZ364242,-1,-1,-1,-1
16003,MZ364243,-1,-1,-1,-1
16004,MZ364244,-1,-1,-1,-1
16005,MZ364245,463,-1,-1,-1
16006,MZ364246,1054,-1,-1,-1
16007,MZ364247,463,-1,-1,-1
16008,MZ364248,1230,-1,-1,-1
16009,MZ364249,1054,-1,-1,-1
16010,MZ364250,463,-1,-1,-1
16011,MZ364251,1069,1079,1010,774
16012,MZ364252,572,-1,-1,-1
16013,MZ364253,-1,-1,-1,-1
16014,MZ364254,1229,-1,-1,-1
16015,MZ364255,409,-1,-1,-1
16016,MZ364256,-1,-1,-1,-1
16017,MZ364257,73,-1,-1,-1
16018,MZ364258,-1,-1,-1,-1
16019,MZ364259,-1,-1,-1,-1
16020,MZ364260,-1,-1,-1,-1
16021,MZ364261,1392,-1,-1,-1
16022,MZ364262,-1,-1,-1,-1
16023,MZ364263,-1,-1,-1,-1
16024,MZ364264,1229,-1,-1,-1
16025,MZ364265,1314,-1,-1,-1
16026,MZ364266,1304,-1,-1,-1
16027,MZ364267,-1,-1,-1,-1
16028,MZ364268,-1,-1,-1,-1
16029,MZ364269,-1,-1,-1,-1
16030,MZ364270,1304,-1,-1,-1
16031,MZ364271,1149,-1,-1,-1
16032,MZ364272,1314,-1,-1,-1
16033,MZ364273,1302,-1,-1,-1
16034,MZ364274,-1,-1,-1,-1
16035,MZ364275,1392,-1,-1,-1
16036,MZ364276,1315,-1,-1,773
16037,MZ364277,-1,-1,-1,-1
16038,MZ364278,1315,-1,-1,-1
16039,MZ364279,67,-1,-1,-1
16040,MZ364280,40,-1,-1,-1
16041,MZ364281,-1,-1,-1,-1
16042,MZ364282,1069,-1,-1,-1
16043,MZ364283,51,-1,-1,-1
16044,MZ364284,52,-1,-1,-1
16045,MZ364285,-1,-1,-1,-1
16046,MZ364286,51,-1,-1,-1
16047,MZ364287,1250,-1,-1,-1
16048,MZ364288,1329,1078,1009,772
16049,MZ364289,-1,-1,-1,-1
16050,MZ364290,-1,-1,-1,-1
16051,MZ364291,67,-1,-1,-1
16052,MZ364292,-1,-1,-1,-1
16053,MZ364293,572,-1,-1,-1
16054,MZ364294,1069,1079,1010,774
16055,MZ368140,-1,-1,-1,-1
16056,MZ369152,-1,-1,-1,-1
16057,MZ374361,-1,-1,1325,1021
16058,MZ375232,3677,1081,1011,775
16059,MZ375233,3018,1080,1339,1031
16060,MZ375234,3018,1080,1339,1031
16061,MZ375235,2996,1080,1339,1031
16062,MZ375236,2996,1080,1339,1031
16063,MZ375237,-1,1080,1339,1031
16064,MZ375238,3091,1080,1339,1031
16065,MZ375239,3090,1080,1339,1031
16066,MZ375240,3064,1080,1339,1031
16067,MZ375241,3065,1080,1339,1031
16068,MZ375242,3091,1080,1339,1031
16069,MZ375243,3065,1080,1339,1031
16070,MZ375244,3064,1080,1339,1031
16071,MZ375245,3090,1080,1339,1031
16072,MZ375246,3041,1080,1339,1031
16073,MZ375247,2920,1080,1339,1031
16074,MZ375248,2920,1080,1339,1031
16075,MZ375249,3066,1080,1339,1031
16076,MZ375250,3066,1080,1339,1031
16077,MZ375251,3028,1080,1339,1031
16078,MZ375252,-1,1080,1339,1031
16079,MZ375253,3028,1080,1339,1031
16080,MZ375254,3041,1080,1339,1031
16081,MZ375255,3108,1080,1339,1031
16082,MZ375256,-1,1080,1339,1031
16083,MZ375257,2958,1080,1339,1031
16084,MZ375258,3066,1080,1339,1031
16085,MZ375259,2958,1080,1339,1031
16086,MZ375260,3112,1080,1339,1031
16087,MZ375261,-1,1080,1339,1031
16088,MZ375262,-1,1080,1339,1031
16089,MZ375263,2958,1080,1339,1031
16090,MZ375264,2958,1080,1339,1031
16091,MZ375265,3028,1080,1339,1031
16092,MZ375266,3112,1080,1339,1031
16093,MZ375267,3108,1080,1339,1031
16094,MZ375268,3041,1080,1339,1031
16095,MZ375269,-1,1080,1339,1031
16096,MZ375270,3112,1080,1339,1031
16097,MZ375271,3113,1080,1339,1031
16098,MZ375272,-1,1080,1339,1031
16099,MZ375273,3113,1080,1339,1031
16100,MZ375274,2988,1080,1339,1031
16101,MZ375275,3113,1080,1339,1031
16102,MZ375276,2988,1080,1339,1031
16103,MZ375277,3067,1080,1339,1031
16104,MZ375278,2987,1080,1339,1031
16105,MZ375279,3066,1080,1339,1031
16106,MZ375280,3067,1080,1339,1031
16107,MZ375281,2907,1080,1339,1031
16108,MZ375282,2987,1080,1339,1031
16109,MZ375283,3005,1080,1339,1031
16110,MZ375284,3067,1080,1339,1031
16111,MZ375285,-1,1080,1339,1031
16112,MZ375286,-1,1080,1339,1031
16113,MZ375287,2907,1080,1339,1031
16114,MZ375288,-1,1080,1339,1031
16115,MZ375289,2907,1080,1339,1031
16116,MZ375290,3005,1080,1339,1031
16117,MZ375291,2907,1080,1339,1031
16118,MZ375292,2908,1080,1339,1031
16119,MZ375293,3065,1080,1339,1031
16120,MZ375294,2908,1080,1339,1031
16121,MZ375295,3677,1081,1011,775
16122,MZ375296,3677,1081,1011,775
16123,MZ375297,3656,1081,1011,775
16124,MZ375298,3677,1081,1011,775
16125,MZ375299,-1,1081,1011,775
16126,MZ375300,3677,1081,1011,775
16127,MZ375301,-1,1081,1011,775
16128,MZ375302,3678,1081,1011,775
16129,MZ375303,-1,1081,1011,775
16130,MZ375304,3678,1081,1011,775
16131,MZ375305,3710,1081,1011,775
16132,MZ375306,-1,1081,1011,775
16133,MZ375307,3656,1081,1011,775
16134,MZ375308,3710,1081,1011,775
16135,MZ375309,3710,1081,1011,775
16136,MZ375310,3710,1081,1011,775
16137,MZ375311,-1,1081,1011,775
16138,MZ375312,-1,1081,1011,775
16139,MZ375313,3677,1081,1011,775
16140,MZ375314,3634,1081,1011,775
16141,MZ375315,3710,1081,1011,775
16142,MZ375316,3598,1081,1011,775
16143,MZ375317,-1,1081,1011,775
16144,MZ375318,3598,1081,1011,775
16145,MZ375319,-1,1081,1011,775
16146,MZ375320,3677,1081,1011,775
16147,MZ375321,3657,1081,1011,775
16148,MZ375322,-1,1081,1011,775
